Question,Q_Annotation,A_Annotation,Final_A_Annotation
لماذا يجب ان يكون لديك صندوق احتياط لكل شيء  ,1,طريقتك في ايصال الفكرة جميلة جدا والمثال جيد ومعبر  جعلتنى أستمتع وأنا أقرأ  مع أننى لا أحب الشيبسي ههه  بداية إذا لم نرد أن نخسر أو تتعقد حياتنا أكثر علينا أن نضع احتياطات لكل شيء مثل الشركات  عندما تضع مخزون الأمان أو تشكل إحتياطات مالية أخرى  في حال حدثت أي ظروف غير متوقعة نخرج هذا الاحتياط ونواجه به الأزمة مثال عن شركة كرايسلر  Chrysler في عام 2009 أعلنت صانعة السيارات  كرايسلر  إفلاسها بسبب الديون الهائلة  ازمة سيولة لم تكن لها احتياطات الكافية لتخطى الأزمة  وقد قامت الحكومة الفيدرالية بإنقاذ شركة  كرايسلر  عبر إلغاء ديون قيمتها 2 6 مليار دولار  ويعتبر ذلك من بين أكبر خطط الإنقاذ التي يمولها دافعو الضرائب  وقد تم تقسيم  كرايسلر  وقتها إلى شركتين  إحداهما  كرايسلر القديمة  الم فلسة خسرت   والأخرى  كرايسلر الجديدة  التي لا تزال تعمل حتى الآن ولكن تحت اسم  فيات كرايسلر  التي تم انقادها  وذلك بعد أن اشترت شركة  فيات  أسهم شركة  كرايسلر  واندمجت الشركتان في كيان واحد تحت هذا الاسم الجديد  وقد بلغ صافي أرباح  فيات كرايسلر  4 3 مليار دولار عام 2017 إذا أسقطنا هذا الأمر على الحياة والأشخاص بشكل عام  نجد أن من يضعون هذه الإحتياطات تكون حياتهم أسهل وأبسط من الآخرين ,1
هل بيع التراجم قانوني ,0,لم أفهم جيد ا  أليس هذه الترجمة هي ترجمتك ومجهودك  إن كان هذا صحيح ا فما الضرر في أن تبيع ترجمتك   أليس سيتم تقييم جودة عملك وعلى إثر هذا  التقييم سيتم تقديم لك مبلغ معين  ,1
كيف اتخلص من تشتت واركز في شئ واحد فقط اعلم ان الامر صعب وهل من تجربة  ,1,أرى أنه من الأفضل بداية  أن تقوم بتقييم عاداتك لمعرفة تماما  العوائق التي تجعلك مرتبكا  ومشوشا  في تركيزك بالأشياء التي تقوم بعملها إن كانت لديك أشياء ومهام كثيرة تقوم بعملها من الأفضل أن ت جزءها على أوقات مختلفة لتستطيع استلام واحدة  تلو الأ خرى والانتهاء منها  هناك أشخاص جي دون في العمل على مهام متعددة وهناك أشخاص يتشتتون بذلك يبدو أنك تفضل العمل على شيء واحد وتفتقد للتركيز في بعض الأحيان  عادات النوم السليمة والتمارين وتفويض الوقت والعمل بنظام صارم نوعا  ما لفترة قصيرة قد ت شكل لديك عادات ت ساعدك على التركيز ككل ,1
كيف تقوي شخصيتك وتوقف من يظلمك عند حده  ,0,من ي ظلم لا يمكن يرضخ لا أي ذل يحدث له  إلا الظلم لكن إن كنت تريد بناء شخصيتك لتشعر بالثقة بنفسك والاعتزاز بذاتك  فأنصحك,1
كيف أتجنب سوء الفهم ,0,تدرب على ذلك إما بالحديث مع أناس لا تعرفهم حتى تعرف كيف تتصرف  مثلا إفتح مواضيع للحديث في المقهى أو القطار أو في محل الحلاقة رويدا رويدا ستتعلم ذلك أو تعامل بظاهر الأمور يعني لا تؤول الكلام أبدا فمن يتكلم بجدية و لو كان يقصد المزاح فسر كلامه بجدية و العكس بالعكس ,1
اذا كنت افعل شئ صوبا او حق لماذا اخجل من فعله ,1,ربما يكون الأمر من باب الحياء ليس إلا  وهذه ليست مشكلة فالحياء عموما صفة محمودة بشرط ألا تزيد عن الحد  كأن يتسبب هذا الحياء في تركك لحقوقك مثلا,1
ما تعلمته,1,قرأت نصائحك وأتفق معها تماما وأتمنى لو أن أحدا قد أخبرها لي منذ بضعة سنوات لا تخبر الناس بخططك المستقبليةلكنني تووقفت فقط عند هذه النصيحة  لأنني منذ سنوات شاهدت أحد الفيديوهات على اليوتيوب لأحدهم يقول  إذا جاءتك فكرة جديدة أو نويت على فعل شئ  أخبر به المقربين منك  حتى تتحول الفكرة المجردة إلى شئ حقيقة وحتى تكون وضعت نفسك أمام الأمر الواقع وتجبر نفسك على فعلا لا أعلم إن كان هذا صحيحا أم خطأ  ما زلت أختبر الأمر وأرى تأثيره على حياتي لأستخرج النصيحة من تجربتي الشخصية لكنني لم أتوصل بعد,1
بدأت الاجازة ولا أعلم ماذا أفعل  ماهي النشاطات التي تنصحني بفعلها  ,1,هل لديك مزارات سياحية أو أماكن تنزه قريبة منك  أخرج إليها وأستمتع وأمتع البشر معك بلقطات من هاتفك أو كاميرتك  ربما تستفيد من الناحية النفسية والناحية المالية  أنا فعلت ذلك بقدر ما أستطعت والآن أتمنى العودة لكن ليس في المنطقة المحيطة ,1
لا أشعر بالانتماء والراحة بين أصدقائي   ,1,وعليكم السلام ورحمة الله وبركاتهكنت سأنصحك في البداية بأن تستمري معهم  فلا بأس من كون الأصدقاء لا يشاركونك نفس اهتماماتك  لكن طالم ا أن البقاء معهم مضر أكثر من نفعه فلماذا الاستمرار  لذا اعتقد بأنك تبحثين عن طريقة مناسبة للفراق بأقل ضرر ممكن  الموضوع سهل وعبارة عن خطوات بسيطة وبالطبع سيحاولن معك أن تبقي لفترة أطول  أثبتي على رأيك وانصرفي بطريقة مهذبه  استمري على هذه الحالة لبعض الوقت  ثم انتقلي للخطوة الثانية قللي من حضورك  أقصد بأن تتخلفي عن ملاقاتهم تدريجي ا  من مرة كل يوم إلى 4 مرات في الأسبوع  ومن 4 مرات إلى مرتين كل أسبوع  وهكذا تدريجي ا  أحرصي على ألا يكون التخلف مبالغ فيه  كل شيء بقدر  وعند سؤالهم لك تعذري دائما بأنك انشغلتي    إلى آخره من الأعذار تجاهليهم وصرفيهم بمعنى لا تردي على كل رسائلهم  لا تردي على كل مكالماتهم  من بين كل 3 مكالمات ردي على واحدة فقط  وتعذري دوم ا بأن الجوال كان صامت  أو لم يكن بجانبك  كنت  مشغولة  نسيت  الجوال في غرفتك بينما خرجت  من المنزل    وشيئ ا فشيئ ا ستجدينهم يملون منك  وستقل طلباتهم لك بشكل كبير  اتصالاتهم  رسائلهم    استمري على هذه الخطة وستختفين من حياتهم ببطء وبالمناسبة  أحببت تنبيهك لشيء ربما يهمك  سيتكلمون من وراء ظهرك  ربما كثير ا أيض ا  لذلك لا تجعلي هذا يؤثر عليك   ,1
كيف تتجاوزون الألم النفسي,0,الخذلانسيغدو مألوفا  مع مرور الوقت  تعلمت من تجاربي السابقة ان اتجنب بناء توقعات مرتفعة من الجميع  انظري للتجربة بطريقة ايجابية  فالفائدة الاولى هي تجربة توضح الواقع مقارنة مع التصور الشخصي الذي بنيتيه عن هؤلاء الاشخاص  الدرس تلخصه المقولة  ما حك جلدك مثل ظفرك فتولى انت جميع امرك  الخذلان انواع  منه خذلان الثقة  بالتالي لا تفشي اسرارك لاحد  شاركي الضروري فقط وتوقعي انتشار السر لسبب او اخر  الصديق الحقيقي هو من يضره ما يضرك  كالاب والام والاخوة والاخوات خذلان الصداقة  ما اكثرها  اعيدي حساباتك في معرفة الاسباب التي تدعو من حولك لصداقتك  هل هي التسلية وقضاء وقت ممتع  ما اكثر الاصذقاء  ام هي صداقة لشخصك وفكرك  هنالك من يصادق لمصلحة تنتهي الصداقة بانتهاء المصلحة  هنالك صديق الرحلة  من يكون موجوذا بسبب الرحلة المشتركة وتنتهي الصداقة مع انتهاء الرحلة كالدراسة او السفر  معرفة نوع العلاقة يساعد في اعداد التوقعات الجانب الاخر هو ما تقدميه من وقت وجهد مقابل ما يقدمه الآخر  عندما تقدمين صدر رحب يتسع لمشاكل الاخرين ستكونين البطلة التي تنتهي بطولتها مع انتهاء الدور الدي تقوم به  العلاقات التي تستنزف وقتك وطاقتك غير صحية او مستدامةفقدان الثقةفقدان الثقة في من حولك هو رد فعل طبيعي  احرصي على عدم التعميم  فهنالك من يحبك لشخصك وانت هنا في غمامة من الافكار والعوطف تشمل جميع من حولك فقدان الثقة بالنفس وارد جدا والعامل الايجابي هنا هو معرفة الامور التي كنت تتكلين فيها على غيرك  تعلمي ما يمكنك من الاكتفاء الذاتي  ان احتجت مساعدة  احصلي عليها كخدمة بمقابل بدلا من الشكر  هنا تكونين اقوى ولديك الخيار في املاء ما تريدين بالضبط,1
